date,name,value,category
2023-04-30,Meta,605.8450303101928,AI Platform
2023-04-30,TSMC,437.2223682123547,AI Infra
2023-04-30,Broadcom,289.40640443629206,AI Infra
2023-04-30,Oracle,272.23380480000003,Cloud
2023-04-30,AMD,145.7097417,AI Infra
2023-04-30,IBM,118.1598773905041,Cloud
2023-05-31,Microsoft,2410.38920052,Hyperscaler
2023-05-31,Alphabet,1480.987443079275,Hyperscaler
2023-05-31,Amazon,1294.414242,Hyperscaler
2023-05-31,NVIDIA,920.6331952852457,AI Infra
2023-05-31,Meta,667.3572587538043,AI Platform
2023-05-31,TSMC,511.33752410505394,AI Infra
2023-05-31,Broadcom,373.23070282049895,AI Infra
2023-05-31,Oracle,304.48109460000006,Cloud
2023-05-31,AMD,192.7307661,AI Infra
2023-05-31,IBM,120.19760013958486,Cloud
2023-06-30,Microsoft,2499.58586808,Hyperscaler
2023-06-30,Alphabet,1442.7851139560137,Hyperscaler
2023-06-30,Amazon,1399.4015640000002,Hyperscaler
2023-06-30,NVIDIA,1029.459425848438,AI Infra
2023-06-30,Meta,723.4745622437547,AI Platform
2023-06-30,TSMC,523.4220806641854,AI Infra
2023-06-30,Broadcom,402.83663880360405,AI Infra
2023-06-30,Oracle,342.27537810000007,Cloud
2023-06-30,AMD,185.7200031,AI Infra
2023-06-30,IBM,125.07691791490669,Cloud
2023-07-31,Microsoft,2465.66559024,Hyperscaler
2023-07-31,Alphabet,1599.7074107853177,Hyperscaler
2023-07-31,Amazon,1435.041432,Hyperscaler
2023-07-31,NVIDIA,1137.194910711771,AI Infra
2023-07-31,Meta,803.1883599235496,AI Platform
2023-07-31,TSMC,514.2419668832143,AI Infra
2023-07-31,Broadcom,417.3359282083306,AI Infra
2023-07-31,Oracle,336.92957070000006,Cloud
2023-07-31,AMD,186.518904,AI Infra
2023-07-31,IBM,134.77012200113032,Cloud
2023-08-31,Microsoft,2410.86444084,Hyperscaler
2023-08-31,Alphabet,1641.3089971864877,Hyperscaler
2023-08-31,Amazon,1481.523549,Hyperscaler
2023-08-31,NVIDIA,1201.1009221624552,AI Infra
2023-08-31,Meta,745.9366095975488,AI Platform
2023-08-31,TSMC,485.30126920083063,AI Infra
2023-08-31,Broadcom,428.5931345892998,AI Infra
2023-08-31,Oracle,346.01169510000005,Cloud
2023-08-31,AMD,172.3669452,AI Infra
2023-08-31,IBM,137.24717029703126,Cloud
2023-09-30,Microsoft,2322.52172073,Hyperscaler
2023-09-30,Alphabet,1577.3037649536902,Hyperscaler
2023-09-30,Amazon,1364.620488,Hyperscaler
2023-09-30,NVIDIA,1058.678263223463,AI Infra
2023-09-30,Meta,756.8272992236308,AI Platform
2023-09-30,TSMC,450.7072811109564,AI Infra
2023-09-30,Broadcom,387.8248177012055,AI Infra
2023-09-30,Oracle,304.42361280000006,Cloud
2023-09-30,AMD,167.6387562,AI Infra
2023-09-30,IBM,131.14334940184898,Cloud
2023-10-31,Microsoft,2486.99942523,Hyperscaler
2023-10-31,Alphabet,1495.5764262720086,Hyperscaler
2023-10-31,Amazon,1428.707841,Hyperscaler
2023-10-31,NVIDIA,992.503111165036,AI Infra
2023-10-31,Meta,759.4995517707714,AI Platform
2023-10-31,TSMC,447.647243183966,AI Infra
2023-10-31,Broadcom,392.86289524002456,AI Infra
2023-10-31,Oracle,297.18090600000005,Cloud
2023-10-31,AMD,160.595385,AI Infra
2023-10-31,IBM,135.20010019589046,Cloud
2023-11-30,Microsoft,2792.76459174,Hyperscaler
2023-11-30,Alphabet,1597.4331745993854,Hyperscaler
2023-11-30,Amazon,1568.261541,Hyperscaler
2023-11-30,NVIDIA,1138.288091111853,AI Infra
2023-11-30,Meta,824.7428498085034,AI Platform
2023-11-30,TSMC,504.69879775497316,AI Infra
2023-11-30,Broadcom,432.253397962129,AI Infra
2023-11-30,Oracle,333.9979989000001,Cloud
2023-11-30,AMD,197.5404756,AI Infra
2023-11-30,IBM,148.21161426341533,Cloud
2023-12-31,Microsoft,2771.60897187,Hyperscaler
2023-12-31,Alphabet,1683.7210826539203,Hyperscaler
2023-12-31,Amazon,1631.060706,Hyperscaler
2023-12-31,NVIDIA,1205.371386353422,AI Infra
2023-12-31,Meta,892.330671307406,AI Platform
2023-12-31,TSMC,539.3965159440675,AI Infra
2023-12-31,Broadcom,523.6120545403292,AI Infra
2023-12-31,Oracle,303.01530870000005,Cloud
2023-12-31,AMD,240.3387381,AI Infra
2023-12-31,IBM,152.8759429413571,Cloud
2024-01-31,Microsoft,2930.36151564,Hyperscaler
2024-01-31,Alphabet,1688.6687560584212,Hyperscaler
2024-01-31,Amazon,1666.05648,Hyperscaler
2024-01-31,NVIDIA,1497.5719336047873,AI Infra
2024-01-31,Meta,983.540196925843,AI Platform
2024-01-31,TSMC,585.8676003946332,AI Infra
2024-01-31,Broadcom,553.5152683906317,AI Infra
2024-01-31,Oracle,321.0358530000001,Cloud
2024-01-31,AMD,273.4034529,AI Infra
2024-01-31,IBM,171.67346793402407,Cloud
2024-02-29,Microsoft,3054.37696227,Hyperscaler
2024-02-29,NVIDIA,1925.594667490862,AI Infra
2024-02-29,Amazon,1897.500924,Hyperscaler
2024-02-29,Alphabet,1668.902256442396,Hyperscaler
2024-02-29,Meta,1235.6142838962,AI Platform
2024-02-29,TSMC,667.3475933319534,AI Infra
2024-02-29,Broadcom,610.0359933485286,AI Infra
2024-02-29,Oracle,320.9783712000001,Cloud
2024-02-29,AMD,313.9028373,AI Infra
2024-02-29,IBM,172.95405516624456,Cloud
2024-03-31,Microsoft,3106.6608231,Hyperscaler
2024-03-31,NVIDIA,2199.3791422562103,AI Infra
2024-03-31,Amazon,1936.361262,Hyperscaler
2024-03-31,Alphabet,1819.2074937307168,Hyperscaler
2024-03-31,Meta,1224.1437658872478,AI Platform
2024-03-31,TSMC,705.6239999441383,AI Infra
2024-03-31,Broadcom,624.3688640429101,AI Infra
2024-03-31,Oracle,361.01444490000006,Cloud
2024-03-31,AMD,294.2727009,AI Infra
2024-03-31,IBM,178.49703493782664,Cloud
2024-04-30,Microsoft,2874.86978265,Hyperscaler
2024-04-30,NVIDIA,2103.1305730445206,AI Infra
2024-04-30,Alphabet,1962.0367844078362,Hyperscaler
2024-04-30,Amazon,1878.6075,Hyperscaler
2024-04-30,Meta,1084.4555454749318,AI Platform
2024-04-30,TSMC,712.3145913438291,AI Infra
2024-04-30,Broadcom,612.5251620930044,AI Infra
2024-04-30,Oracle,326.92773750000003,Cloud
2024-04-30,AMD,258.2243358,AI Infra
2024-04-30,IBM,155.35299123725798,Cloud
2024-05-31,Microsoft,3070.90641465,Hyperscaler
2024-05-31,NVIDIA,2668.6018733142023,AI Infra
2024-05-31,Alphabet,2079.196238986298,Hyperscaler
2024-05-31,Amazon,1894.065756,Hyperscaler
2024-05-31,Meta,1176.875147718489,AI Platform
2024-05-31,TSMC,783.3697093095379,AI Infra
2024-05-31,Broadcom,625.8481414681986,AI Infra
2024-05-31,Oracle,336.81460710000005,Cloud
2024-05-31,AMD,272.115429,AI Infra
2024-05-31,IBM,155.96056912115822,Cloud
2024-06-30,Microsoft,3306.29888565,Hyperscaler
2024-06-30,NVIDIA,3007.341715326304,AI Infra
2024-06-30,Alphabet,2198.0371767022307,Hyperscaler
2024-06-30,Amazon,2074.519425,Hyperscaler
2024-06-30,Meta,1271.1350748294167,AI Platform
2024-06-30,TSMC,901.4664272715227,AI Infra
2024-06-30,Broadcom,758.7318222328137,AI Infra
2024-06-30,Oracle,405.82150800000005,Cloud
2024-06-30,AMD,264.4688061,AI Infra
2024-06-30,IBM,161.66245387776036,Cloud
2024-07-31,Microsoft,3094.72783569,Hyperscaler
2024-07-31,NVIDIA,2848.6479547976705,AI Infra
2024-07-31,Alphabet,2070.002518234658,Hyperscaler
2024-07-31,Amazon,2007.211602,Hyperscaler
2024-07-31,Meta,1197.0430914704928,AI Platform
2024-07-31,TSMC,859.9225225339076,AI Infra
2024-07-31,Broadcom,759.3292227314879,AI Infra
2024-07-31,Oracle,400.79185050000007,Cloud
2024-07-31,AMD,235.56163679999997,AI Infra
2024-07-31,IBM,179.60002248090706,Cloud
2024-08-31,Microsoft,3091.34174841,Hyperscaler
2024-08-31,NVIDIA,2905.863410035825,AI Infra
2024-08-31,Alphabet,1971.5208331832116,Hyperscaler
2024-08-31,Amazon,1916.17965,Hyperscaler
2024-08-31,Meta,1314.2188446696346,AI Platform
2024-08-31,TSMC,890.5229018038112,AI Infra
2024-08-31,Broadcom,769.4423597447582,AI Infra
2024-08-31,Oracle,406.0801761000001,Cloud
2024-08-31,AMD,242.2137096,AI Infra
2024-08-31,IBM,188.93802718885053,Cloud
2024-09-30,Microsoft,3188.8625472,Hyperscaler
2024-09-30,NVIDIA,2956.5051746721483,AI Infra
2024-09-30,Alphabet,2003.9891838376868,Hyperscaler
2024-09-30,Amazon,2000.2339170000002,Hyperscaler
2024-09-30,Meta,1443.1172151746287,AI Platform
2024-09-30,TSMC,900.7403165769825,AI Infra
2024-09-30,Broadcom,817.8697303277596,AI Infra
2024-09-30,Oracle,489.7449360000001,Cloud
2024-09-30,AMD,267.5176728,AI Infra
2024-09-30,IBM,206.65125934255715,Cloud
2024-10-31,NVIDIA,3232.0888929022203,AI Infra
2024-10-31,Microsoft,3011.37513894,Hyperscaler
2024-10-31,Alphabet,2067.546827033891,Hyperscaler
2024-10-31,Amazon,2000.98536,Hyperscaler
2024-10-31,Meta,1430.8651893452864,AI Platform
2024-10-31,TSMC,988.2366552690635,AI Infra
2024-10-31,Broadcom,804.9260528564856,AI Infra
2024-10-31,Oracle,482.38726560000003,Cloud
2024-10-31,AMD,234.8931687,AI Infra
2024-10-31,IBM,193.22846178439212,Cloud
2024-11-30,NVIDIA,3365.7295881372115,AI Infra
2024-11-30,Microsoft,3144.4572798,Hyperscaler
2024-11-30,Amazon,2231.678361,Hyperscaler
2024-11-30,Alphabet,2041.453595900619,Hyperscaler
2024-11-30,Meta,1447.8566819563496,AI Platform
2024-11-30,TSMC,957.7400060983798,AI Infra
2024-11-30,Broadcom,768.4656573421639,AI Infra
2024-11-30,Oracle,531.2467956000002,Cloud
2024-11-30,AMD,223.65149175000002,AI Infra
2024-11-30,IBM,212.56813319653935,Cloud
2024-12-31,NVIDIA,3269.558929332654,AI Infra
2024-12-31,Microsoft,3129.903045,Hyperscaler
2024-12-31,Amazon,2355.129711,Hyperscaler
2024-12-31,Alphabet,2289.9622872176396,Hyperscaler
2024-12-31,Meta,1476.0665932794645,AI Platform
2024-12-31,Broadcom,1099.2169175605088,AI Infra
2024-12-31,TSMC,1024.282864748018,AI Infra
2024-12-31,Oracle,478.9383576000001,Cloud
2024-12-31,IBM,205.4828403350567,Cloud
2024-12-31,AMD,196.9372239,AI Infra
2025-01-31,Microsoft,3082.0819878,Hyperscaler
2025-01-31,NVIDIA,2923.344557636248,AI Infra
2025-01-31,Amazon,2551.471032,Hyperscaler
2025-01-31,Alphabet,2468.030141775715,Hyperscaler
2025-01-31,Meta,1737.4179343757432,AI Platform
2025-01-31,TSMC,1085.6392184366557,AI Infra
2025-01-31,Broadcom,1049.101653505063,AI Infra
2025-01-31,Oracle,488.7677454000001,Cloud
2025-01-31,IBM,239.0117921742892,Cloud
2025-01-31,AMD,189.0460395,AI Infra
2025-02-28,NVIDIA,3041.4275184469066,AI Infra
2025-02-28,Microsoft,2947.9008537,Hyperscaler
2025-02-28,Amazon,2278.804572,Hyperscaler
2025-02-28,Alphabet,2059.8773284068657,Hyperscaler
2025-02-28,Meta,1684.5275018861134,AI Platform
2025-02-28,Broadcom,945.5522337348701,AI Infra
2025-02-28,TSMC,936.319740609447,AI Infra
2025-02-28,Oracle,477.27138540000004,Cloud
2025-02-28,IBM,235.96455540272808,Cloud
2025-02-28,AMD,162.8127426,AI Infra
2025-03-31,Microsoft,2787.5072457,Hyperscaler
2025-03-31,NVIDIA,2638.728101579217,AI Infra
2025-03-31,Amazon,2042.422074,Hyperscaler
2025-03-31,Alphabet,1870.6802329389104,Hyperscaler
2025-03-31,Meta,1452.9995076131104,AI Platform
2025-03-31,TSMC,860.9598235261077,AI Infra
2025-03-31,Broadcom,793.831472166822,AI Infra
2025-03-31,Oracle,401.82652290000004,Cloud
2025-03-31,IBM,232.43125632404676,Cloud
2025-03-31,AMD,167.5083234,AI Infra
2025-04-30,Microsoft,2935.0545138,Hyperscaler
2025-04-30,NVIDIA,2651.875482782878,AI Infra
2025-04-30,Amazon,1979.7302579999998,Hyperscaler
2025-04-30,Alphabet,1921.0037570531492,Hyperscaler
2025-04-30,Meta,1384.0251399812576,AI Platform
2025-04-30,Broadcom,912.5529680938197,AI Infra
2025-04-30,TSMC,864.5385119491981,AI Infra
2025-04-30,Oracle,404.44194480000004,Cloud
2025-04-30,IBM,226.03766751500436,Cloud
2025-04-30,AMD,158.7204135,AI Infra
2025-05-31,Microsoft,3418.4630268,Hyperscaler
2025-05-31,NVIDIA,3290.0104112050153,AI Infra
2025-05-31,Amazon,2200.761849,Hyperscaler
2025-05-31,Alphabet,2077.5389498508052,Hyperscaler
2025-05-31,Meta,1632.3177374981137,AI Platform
2025-05-31,Broadcom,1147.7201485242942,AI Infra
2025-05-31,TSMC,1002.6551390606454,AI Infra
2025-05-31,Oracle,475.7481177000001,Cloud
2025-05-31,IBM,242.15250246645041,Cloud
2025-05-31,AMD,180.5352993,AI Infra
2025-06-30,NVIDIA,3846.582882159997,AI Infra
2025-06-30,Microsoft,3693.5826183,Hyperscaler
2025-06-30,Amazon,2355.129711,Hyperscaler
2025-06-30,Alphabet,2131.8544842914134,Hyperscaler
2025-06-30,Meta,1860.7197004895563,AI Platform
2025-06-30,Broadcom,1306.9321226947648,AI Infra
2025-06-30,TSMC,1174.6915086170368,AI Infra
2025-06-30,Oracle,628.3622967000001,Cloud
2025-06-30,IBM,275.5412440247828,Cloud
2025-06-30,AMD,231.355179,AI Infra
2025-07-31,NVIDIA,4330.6012864725535,AI Infra
